lvl_type	name	taxonomy
s	Candidatus Sulfurimonas marisnigri	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;s__Candidatus Sulfurimonas marisnigri
s	Candidatus Sulfurimonas baltica	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;s__Candidatus Sulfurimonas baltica
s	Sulfurimonas xiamenensis	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;s__Sulfurimonas xiamenensis
s	Sulfurimonas gotlandica	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;s__Sulfurimonas gotlandica
s1	Sulfurimonas gotlandica GD1	na;na;na;na;na;na;na
s	Sulfurimonas autotrophica	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfurimonas;s__Sulfurimonas autotrophica
s1	Sulfurimonas autotrophica DSM 16294	na;na;na;na;na;na;na
g	Sulfuricurvum	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfuricurvum
s	Sulfuricurvum kujiense	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Thiovulaceae;g__Sulfuricurvum;s__Sulfuricurvum kujiense
s1	Sulfuricurvum kujiense DSM 16994	na;na;na;na;na;na;na
f	Helicobacteraceae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae
g	Helicobacter	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter
s	Helicobacter pylori	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
s	Helicobacter bilis	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter bilis
s	Helicobacter acinonychis	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter acinonychis
f	Sulfurospirillaceae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae
g	Sulfurospirillum	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum
s	Sulfurospirillum cavolei	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum cavolei
s	Sulfurospirillum halorespirans	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum halorespirans
s1	Sulfurospirillum halorespirans DSM 13726	na;na;na;na;na;na;na
s	Sulfurospirillum multivorans	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum multivorans
s	Sulfurospirillum barnesii	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum barnesii
s1	Sulfurospirillum barnesii SES-3	na;na;na;na;na;na;na
g1	unclassified Sulfurospirillum	na;na;na;na;na;na;na
s	Sulfurospirillum sp. UCH001	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp. UCH001
f	Sulfurovaceae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae
g	Nitratifractor	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor
s	Nitratifractor salsuginis	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Nitratifractor;s__Nitratifractor salsuginis
s1	Nitratifractor salsuginis DSM 16511	na;na;na;na;na;na;na
g	Sulfurovum	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
s	Sulfurovum indicum	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum indicum
o	Nautiliales	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales
f	Nautiliaceae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae
g	Caminibacter	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Caminibacter
s	Caminibacter mediatlanticus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Caminibacter;s__Caminibacter mediatlanticus
s1	Caminibacter mediatlanticus TB-2	na;na;na;na;na;na;na
s	Caminibacter pacificus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Caminibacter;s__Caminibacter pacificus
g	Nautilia	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Nautilia
g1	unclassified Nautilia	na;na;na;na;na;na;na
s	Nautilia sp. PV-1	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Nautilia;s__Nautilia sp. PV-1
s	Nautilia profundicola	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nautiliaceae;g__Nautilia;s__Nautilia profundicola
s1	Nautilia profundicola AmH	na;na;na;na;na;na;na
f	Nitratiruptoraceae	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae
g	Nitrosophilus	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitrosophilus
s	Nitrosophilus labii	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitrosophilus;s__Nitrosophilus labii
s	Nitrosophilus alvini	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitrosophilus;s__Nitrosophilus alvini
c	Oligoflexia	d__Bacteria;p__Proteobacteria;c__Oligoflexia
o	Bdellovibrionales	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales
f	Bdellovibrionaceae	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae
g	Bdellovibrio	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio
g1	unclassified Bdellovibrio	na;na;na;na;na;na;na
s	Bdellovibrio sp. LBG001	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio sp. LBG001
s	Bdellovibrio sp. KM01	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio sp. KM01
s	Bdellovibrio bacteriovorus	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus
s1	Bdellovibrio bacteriovorus str. Tiberius	na;na;na;na;na;na;na
o	Bacteriovoracales	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales
f	Halobacteriovoraceae	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae
g	Halobacteriovorax	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae;g__Halobacteriovorax
s	Halobacteriovorax marinus	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae;g__Halobacteriovorax;s__Halobacteriovorax marinus
f	Bacteriovoracaceae	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae
g	Bacteriovorax	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax
s	Bacteriovorax stolpii	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__Bacteriovorax;s__Bacteriovorax stolpii
o	Silvanigrellales	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales
f	Silvanigrellaceae	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae
g	Fluviispira	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__Fluviispira
s	Fluviispira sanaruensis	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__Fluviispira;s__Fluviispira sanaruensis
c	Zetaproteobacteria	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria
o	Mariprofundales	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales
f	Mariprofundaceae	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae
g	Mariprofundus	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus
s	Mariprofundus ferrinatatus	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__Mariprofundus ferrinatatus
s	Mariprofundus aestuarium	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__Mariprofundus aestuarium
c	Acidithiobacillia	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia
o	Acidithiobacillales	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales
f	Acidithiobacillaceae	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae
g	Acidithiobacillus	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus
s	Acidithiobacillus caldus	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus caldus
s1	Acidithiobacillus caldus ATCC 51756	na;na;na;na;na;na;na
s	Acidithiobacillus ferriphilus	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferriphilus
s	Acidithiobacillus ferrivorans	d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferrivorans
d1	PVC group	na;na;na;na;na;na;na
p	Verrucomicrobia	d__Bacteria;p__Verrucomicrobia
c	Verrucomicrobiae	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
o	Verrucomicrobiales	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
f	Akkermansiaceae	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae
g	Akkermansia	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia
s	Akkermansia muciniphila	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila
f	Verrucomicrobiaceae	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae
g	Luteolibacter	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter
s	Luteolibacter ambystomatis	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter;s__Luteolibacter ambystomatis
g	Verrucomicrobium	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobium
s	Verrucomicrobium spinosum	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobium;s__Verrucomicrobium spinosum
s1	Verrucomicrobium spinosum DSM 4136 = JCM 18804	na;na;na;na;na;na;na
g	Roseimicrobium	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Roseimicrobium
g1	unclassified Roseimicrobium	na;na;na;na;na;na;na
s	Roseimicrobium sp. ORNL1	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Roseimicrobium;s__Roseimicrobium sp. ORNL1
c	Opitutae	d__Bacteria;p__Verrucomicrobia;c__Opitutae
o	Opitutales	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales
f	Opitutaceae	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae
g	Opitutus	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus
s	Opitutus terrae	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutus terrae
s1	Opitutus terrae PB90-1	na;na;na;na;na;na;na
g1	unclassified Opitutus	na;na;na;na;na;na;na
s	Opitutus sp. GAS368	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutus sp. GAS368
g	Ereboglobus	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Ereboglobus
s	Ereboglobus luteus	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Ereboglobus;s__Ereboglobus luteus
o	Puniceicoccales	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales
f	Puniceicoccaceae	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae
g	Coraliomargarita	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita
s	Coraliomargarita akajimensis	d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales;f__Puniceicoccaceae;g__Coraliomargarita;s__Coraliomargarita akajimensis
s1	Coraliomargarita akajimensis DSM 45221	na;na;na;na;na;na;na
c	Methylacidiphilae	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae
o	Methylacidiphilales	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales
f	Methylacidiphilaceae	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae
g	Methylacidiphilum	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum
s	Methylacidiphilum kamchatkense	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphilum kamchatkense
s1	Methylacidiphilum kamchatkense Kam1	na;na;na;na;na;na;na
p1	Verrucomicrobia incertae sedis	na;na;na;na;na;na;na
g	Methylacidimicrobium	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidimicrobium
g1	unclassified Methylacidimicrobium	na;na;na;na;na;na;na
s	Methylacidimicrobium sp. B4	d__Bacteria;p__Verrucomicrobia;c__Methylacidiphilae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidimicrobium;s__Methylacidimicrobium sp. B4
p	Planctomycetes	d__Bacteria;p__Planctomycetes
c	Planctomycetia	d__Bacteria;p__Planctomycetes;c__Planctomycetia
o	Planctomycetales	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales
f	Planctomycetaceae	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
g	Gimesia	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia
s	Gimesia aquarii	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia aquarii
s	Gimesia alba	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia alba
s	Gimesia fumaroli	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia fumaroli
s	Gimesia maris	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia maris
g	Polystyrenella	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Polystyrenella
s	Polystyrenella longa	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Polystyrenella;s__Polystyrenella longa
g	Maioricimonas	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Maioricimonas
s	Maioricimonas rarisocia	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Maioricimonas;s__Maioricimonas rarisocia
g	Alienimonas	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Alienimonas
s	Alienimonas californiensis	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Alienimonas;s__Alienimonas californiensis
g	Symmachiella	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Symmachiella
s	Symmachiella dynata	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Symmachiella;s__Symmachiella dynata
g	Calycomorphotria	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Calycomorphotria
s	Calycomorphotria hydatis	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Calycomorphotria;s__Calycomorphotria hydatis
g	Crateriforma	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Crateriforma
s	Crateriforma conspicua	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Crateriforma;s__Crateriforma conspicua
o	Pirellulales	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales
f	Pirellulaceae	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae
g	Rosistilla	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rosistilla
s	Rosistilla oblonga	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rosistilla;s__Rosistilla oblonga
s	Rosistilla carotiformis	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rosistilla;s__Rosistilla carotiformis
g	Stieleria	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Stieleria
s	Stieleria maiorica	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Stieleria;s__Stieleria maiorica
g	Lignipirellula	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Lignipirellula
s	Lignipirellula cremea	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Lignipirellula;s__Lignipirellula cremea
g	Bremerella	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Bremerella
s	Bremerella volcania	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Bremerella;s__Bremerella volcania
g	Rubripirellula	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula
s	Rubripirellula lacrimiformis	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rubripirellula;s__Rubripirellula lacrimiformis
o	Gemmatales	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales
f	Gemmataceae	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae
g	Frigoriglobus	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Frigoriglobus
s	Frigoriglobus tundricola	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Frigoriglobus;s__Frigoriglobus tundricola
g	Urbifossiella	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Urbifossiella
s	Urbifossiella limnaea	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Urbifossiella;s__Urbifossiella limnaea
g	Limnoglobus	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Limnoglobus
s	Limnoglobus roseus	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Limnoglobus;s__Limnoglobus roseus
g	Telmatocola	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Telmatocola
s	Telmatocola sphagniphila	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Telmatocola;s__Telmatocola sphagniphila
o	Isosphaerales	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales
f	Isosphaeraceae	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae
g	Singulisphaera	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera
s	Singulisphaera acidiphila	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera;s__Singulisphaera acidiphila
s1	Singulisphaera acidiphila DSM 18658	na;na;na;na;na;na;na
g	Aquisphaera	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Aquisphaera
s	Aquisphaera giovannonii	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Aquisphaera;s__Aquisphaera giovannonii
c	Phycisphaerae	d__Bacteria;p__Planctomycetes;c__Phycisphaerae
o	Sedimentisphaerales	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales
f	Sedimentisphaeraceae	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae
g	Sedimentisphaera	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera
s	Sedimentisphaera salicampi	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera salicampi
s	Sedimentisphaera cyanobacteriorum	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Sedimentisphaerales;f__Sedimentisphaeraceae;g__Sedimentisphaera;s__Sedimentisphaera cyanobacteriorum
o	Phycisphaerales	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales
f	Phycisphaeraceae	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae
g	Poriferisphaera	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Poriferisphaera
s	Poriferisphaera corsica	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Poriferisphaera;s__Poriferisphaera corsica
g	Phycisphaera	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera
s	Phycisphaera mikurensis	d__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Phycisphaera;s__Phycisphaera mikurensis
s1	Phycisphaera mikurensis NBRC 102666	na;na;na;na;na;na;na
c	Candidatus Uabimicrobiia	d__Bacteria;p__Planctomycetes;c__Candidatus Uabimicrobiia
o	Candidatus Uabimicrobiales	d__Bacteria;p__Planctomycetes;c__Candidatus Uabimicrobiia;o__Candidatus Uabimicrobiales
f	Candidatus Uabimicrobiaceae	d__Bacteria;p__Planctomycetes;c__Candidatus Uabimicrobiia;o__Candidatus Uabimicrobiales;f__Candidatus Uabimicrobiaceae
g	Candidatus Uabimicrobium	d__Bacteria;p__Planctomycetes;c__Candidatus Uabimicrobiia;o__Candidatus Uabimicrobiales;f__Candidatus Uabimicrobiaceae;g__Candidatus Uabimicrobium
s	Candidatus Uabimicrobium amorphum	d__Bacteria;p__Planctomycetes;c__Candidatus Uabimicrobiia;o__Candidatus Uabimicrobiales;f__Candidatus Uabimicrobiaceae;g__Candidatus Uabimicrobium;s__Candidatus Uabimicrobium amorphum
p	Chlamydiae	d__Bacteria;p__Chlamydiae
c	Chlamydiia	d__Bacteria;p__Chlamydiae;c__Chlamydiia
o	Parachlamydiales	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales
f	Parachlamydiaceae	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae
g	Candidatus Protochlamydia	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia
s	Candidatus Protochlamydia amoebophila	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Candidatus Protochlamydia;s__Candidatus Protochlamydia amoebophila
s1	Candidatus Protochlamydia amoebophila UWE25	na;na;na;na;na;na;na
g	Parachlamydia	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia
